event,set,species,count
CT2019_006,006,yellowtail rockfish,2
CT2019_007,007,yellowtail rockfish,1
CT2019_007,007,coho,1
CT2019_008,008,yellowtail rockfish,1
CT2019_016,016,coho,3
CT2019_017,017,halibut,1
CT2019_017,017,coho,1
CT2019_018,018,coho,1
CT2019_020,020,coho,2
CT2019_021,021,coho,2
CT2019_021,021,chinook,2
CT2019_022,022,chinook,9
CT2019_022,022,coho,3
CT2019_023,023,chinook,2
CT2019_023,023,coho,3
CT2019_024,024,chinook,2
CT2019_024,024,coho,2
CT2019_025,025,chinook,1
CT2019_025,025,coho,1
CT2019_026,026,lingcod,2
CT2019_026,026,coho,1
CT2019_027,027,coho,1
CT2019_029,029,chinook,2
CT2019_029,029,lingcod,1
CT2019_031,031,chinook,1
CT2019_033,033,chinook,1
CT2019_033,033,coho,2
CT2019_034,034,chinook,1
CT2019_034,034,coho,2
CT2019_034,034,lingcod,1
CT2019_035,035,lingcod,1
CT2019_036,036,halibut,1
CT2019_037,037,yelloweye rockfish,1
CT2019_037,037,coho,3
CT2019_037,037,lingcod,1
CT2019_038,038,coho,6
CT2019_038,038,pink,1
CT2019_038,038,lingcod,3
CT2019_039,039,yelloweye rockfish,1
CT2019_039,039,lingcod,4
CT2019_039,039,coho,1
CT2019_040,040,coho,2
CT2019_040,040,lingcod,2
CT2019_041,041,coho,4
CT2019_041,041,lingcod,2
CT2019_041,041,pink,1
CT2019_042,042,coho,1
CT2019_043,043,chinook,2
CT2019_043,043,coho,5
CT2019_043,043,lingcod,1
CT2019_044,044,pink,2
CT2019_044,044,coho,5
CT2019_045,045,coho,5
CT2019_045,045,pink,1
CT2019_046,046,coho,5
CT2019_047,047,coho,16
CT2019_047,047,lingcod,1
CT2019_047,047,chinook,2
CT2019_048,048,chinook,1
CT2019_048,048,coho,2
CT2019_049,049,coho,12
CT2019_049,049,pink,3
CT2019_050,050,chinook,1
CT2019_050,050,yelloweye rockfish,2
CT2019_050,050,coho,12
CT2019_051,051,coho,5
CT2019_052,052,coho,6
CT2019_053,053,coho,5
CT2019_053,053,pink,1
CT2019_054,054,coho,1
CT2019_056,056,chinook,1
CT2019_059,059,coho,2
CT2019_060,060,chinook,1
CT2019_060,060,coho,7
CT2019_060,060,yelloweye rockfish,1
CT2019_061,061,lingcod,1
CT2019_061,061,yellowtail rockfish,1
CT2019_063,063,coho,1
CT2019_063,063,chinook,3
CT2019_064,064,lingcod,2
CT2019_065,065,yelloweye rockfish,1
CT2019_066,066,lingcod,1
CT2019_066,066,quillback rockfish,1
CT2019_067,067,coho,1
CT2019_067,067,chinook,1
CT2019_069,069,yelloweye rockfish,1
CT2019_069,069,lingcod,1
CT2019_070,070,chinook,1
CT2019_070,070,coho,2
CT2019_071,071,chinook,1
CT2019_073,073,lingcod,4
CT2019_073,073,coho,3
CT2019_073,073,yellowtail rockfish,1
CT2019_074,074,coho,7
CT2019_075,075,coho,5
CT2019_076,076,coho,5
CT2019_076,076,yellowtail rockfish,1
CT2019_077,077,coho,7
CT2019_077,077,yellowtail rockfish,1
CT2019_077,077,vermillion rockfish,1
CT2019_077,077,lingcod,1
CT2019_078,078,coho,1
CT2019_078,078,chinook,1
CT2019_079,079,chinook,2
CT2019_080,080,chinook,1
CT2019_080,080,coho,1
CT2019_081,081,chinook,1
CT2019_081,081,pink,2
CT2019_081,081,coho,1
CT2019_082,082,pink,1
CT2019_082,082,coho,2
CT2019_083,083,coho,3
CT2019_084,084,coho,1
CT2019_084,084,canary rockfish,1
CT2019_085,085,canary rockfish,1
CT2019_085,085,lingcod,1
CT2019_086,086,lingcod,1
CT2019_086,086,halibut,1
CT2019_087,087,coho,1
CT2019_087,087,canary,1
CT2019_087,087,lingcod,1
CT2019_088,088,halibut,1
CT2019_089,089,coho,1
CT2019_090,090,chinook,1
CT2019_091,091,coho,1
CT2019_091,091,pink,3
CT2019_092,092,halibut,2
CT2019_092,092,pink,1
CT2019_092,092,coho,1
CT2019_095,095,halibut,1
CT2019_096,096,chinook,2
CT2019_096,096,pink,1
CT2019_096,096,coho,2
CT2019_097,097,chinook,2
CT2019_097,097,coho,2
CT2019_098,098,chinook,1
CT2019_098,098,pink,1
CT2019_099,099,chinook,4
CT2019_099,099,pink,1
CT2019_099,099,coho,1
CT2019_100,100,chinook,2
CT2019_100,100,pink,2
CT2019_100,100,coho,1
CT2019_101,101,chinook,1
CT2019_103,103,chinook,1
CT2019_103,103,coho,2
CT2019_103,103,pink,3
CT2019_104,104,chinook,1
CT2019_104,104,pink,3
CT2019_104,104,coho,3
CT2019_105,105,pink,4
CT2019_105,105,coho,4
CT2019_106,106,pink,2
CT2019_106,106,coho,12
CT2019_107,107,pink,6
CT2019_107,107,coho,1
CT2019_107,107,yellowtail rockfish,1
CT2019_108,108,coho,5
CT2019_108,108,pink,8
CT2019_108,108,yellowtail rockfish,1
CT2019_109,109,pink,2
CT2019_109,109,coho,4
CT2019_110,110,pink,11
CT2019_110,110,coho,2
CT2019_111,111,pink,7
CT2019_111,111,chinook,1
CT2019_112,112,pink,2
CT2019_113,113,chinook,2
CT2019_113,113,coho,3
CT2019_113,113,pink,4
CT2019_114,114,coho,1
CT2019_114,114,pink,2
CT2019_114,114,yellowtail rockfish,1
CT2019_116,116,chinook,1
CT2019_116,116,coho,2
CT2019_116,116,halibut,1
CT2019_116,116,pink,2
CT2019_116,116,canary,1
CT2019_117,117,chinook,1
CT2019_117,117,pink,2
CT2019_117,117,coho,2
CT2019_118,118,chinook,2
CT2019_119,119,chinook,3
CT2019_119,119,pink,1
CT2019_119,119,coho,1
CT2019_119,119,yellowtail rockfish,1
CT2019_120,120,chinook,2
CT2019_120,120,coho,1
CT2019_121,121,chinook,1
CT2019_122,122,chinook,1
CT2019_123,123,coho,3
